Entity Name,label:gppd_idnr,label:capacity_mw,lat,lng,Type
El Dorado Hydro Elk Creek,USA0050891,2.6,45.2178,-116.3158,Hydro
Milner Butte LFGE,USA0063755,2.6,42.4669,-114.0046,Waste
Birch Creek Power,USA0010140,2.6,44.0274,-112.7194,Hydro
Clear Lake,USA0000814,2.5,42.667,-114.7801,Hydro
Cargill Dry Creek Biofactory,USA0057344,2.4000000000000000,42.4249,-114.2292,Biomass
Lateral 10 Ventures,USA0054753,2.4,42.6474,-114.8903,Hydro
Crystal Springs,USA0010806,2.3,42.6225,-114.5009,Hydro
Cargill B6 Biofactory,USA0057343,2.2,42.7167,-114.6167,Biomass
Rock Creek I,USA0050987,2.1,42.6325,-114.5388,Hydro
Clif Bar Bakery of Twin Falls,USA0062151,2.0,42.541,-114.4125,Solar
Rock Creek II,USA0010809,1.9,42.6207,-114.5315,Hydro
Kettle Butte Digester  LLC,USA0057345,1.8,43.6319,-112.2797,Biomass
Mora Drop Hydroelectric Project,USA0056498,1.7,43.46,-116.4725,Hydro
Last Chance,USA0000987,1.7,42.6033,-111.7053,Hydro
Marsh Valley Development,USA0050972,1.6,42.626,-112.1493,Hydro
Big Sky Dairy Digester,USA0057393,1.6,42.8656,-114.7914,Biomass
Little Mac Project,USA0010049,1.5,42.6296,-114.6616,Hydro
Mile 28 Water Power Project,USA0054812,1.4,42.7401,-114.1612,Hydro
Blind Canyon Hydro,USA0054514,1.3,42.6998,-114.8226,Hydro
Koyle Ranch Hydroelectric Project,USA0010781,1.3,42.9457,-114.7957,Hydro
North Gooding Main Hydro,USA0061688,1.3,43.0451,-114.5588,Hydro
Ford Hydro LP,USA0054674,1.2000000000000000,46.3838,-115.9493,Hydro
Head of U Canal Hydro Project,USA0061217,1.2,42.7628,-114.3958,Hydro
Marco Ranch,USA0050323,1.2,42.6366,-114.5578,Hydro
Fargo Drop,USA0058384,1.1,43.625,-116.8997,Hydro
Notch Butte Hydro,USA0050718,1.0,42.9544,-114.4626,Hydro
